"Resource ID","Creation","Last Update","Name","Description","URL"
"Res1","2012","","LODE","Peroni, S., Shotton, D., Vitali, F. (2012). The Live OWL Documentation Environment: a tool for the automatic generation of ontology documentation. In Proceedings of the 18th International Conference on Knowledge Engineering and Knowledge Management (EKAW 2012): 398–412. http://dx.doi.org/10.1007/978-3-642-33876-2_35","http://www.essepuntato.it/lode"
"Res2","2008","","Cicero","K. Dellschaft, H. Engelbrecht, J. MonteBarreto, S. Rutenbeck, S. Staab. (2008). Cicero: Tracking Design Rationale in Collaborative Ontology Engineering. Proceedings of the ESWC 2008 Demo Session",""
"Res3","2004","","OntoLearn","R. Navigli, P. Velardi, Learning domain ontologies from document warehouses and dedicated websites, Computat. Linguist. 30 (2) (2004) MIT Press.","http://ontolearn.org/"
"Res4","2003","","Text-To-Onto","Text-To-Onto","https://sourceforge.net/projects/texttoonto/"
"Res5","2001","","ebXML","Electronic Business using eXtensible Markup Language (ebXML): http://www.ebxml.org","http://www.ebxml.org"
"Res6","1998","","RosettaNet","RosettaNet: http://www.rosettanet.org","http://www.rosettanet.org"
"Res7","2003","2003","Open Application Group Integration Specification (OAGIS)","Open Applications Group (OAGIS): http://www.openapplications.org","http://www.openapplications.org"
"Res8","","","RACER (Reasoner)","V. Haarslev, R. Möller, Description of the RACER system and its applications, in: Proceedings of the International Workshop on Description Logics (DL-2001), Stanford, USA, 2001.",""
"Res9","2003","","Pellet (Reasoner)","Pellet: http://www.mindswap.org/2003/pellet","http://www.mindswap.org/2003/pellet"
"Res10","2005","","Semantic Web Best Practices and Deployment Working Group","Semantic Web Best Practices and Deployment Working Group","http://www.w3.org/2001/sw/BestPractices/OEP/"
"Res11","2009","2019","Ontology Design Patterns","Ontology Design Patterns","http://www.ontologydesignpatterns.org/"
"Res12","2000","2014","FOAF Vocabulary Specification","FOAF Vocabulary Specification","http://xmlns.com/foaf/spec"
"Res13","2004","2018","SIOC Core Ontology Specification","The SIOC (Semantically-Interlinked Online Communities) Core Ontology provides the main concepts and properties required to describe information from online communities (e.g., message boards, wikis, weblogs, etc.) ","http://rdfs.org/sioc/spec"
"Res14","2009","","Naming properties (blog post)","","http://www.jenitennison.com/2009/09/13/naming-properties-and-relations.html"
"Res15","2014","","Graffoo","Graffoo Graphical Framework for OWL Ontologies","http://www.essepuntato.it/graffoo"
"Res16","2013","","Ditto","Diagrams Transformation inTo OWL","http://www.essepuntato.it/ditto"
"Res17","2019","","MODL","MODL: A Modular Ontology Design Library","https://dase.cs.wright.edu/content/modl-modular-ontology-design-library"